name,domain,year founded,industry
london metropolitan university,londonmet.ac.uk,2002,higher education
makati development corporation,makatidevcorp.com.ph,1974,construction
center for creative leadership,ccl.org,1970,professional training & coaching
schreiber foods,schreiberfoods.com,1945,food production
great ormond street hospital for children nhs foundation trust,gosh.nhs.uk,,hospital & health care
newgen software,newgensoft.com,1992,computer software
ebsco information services,ebsco.com,1984,information services
ocado,ocado.com,2002,retail
ain shams university,shams.edu.eg,1950,higher education
black box network services,blackboxdist.com,1976,sporting goods
commonwealth of kentucky,ky.gov,2015,government administration
wuxi apptec,wuxiapptec.com,2000,pharmaceuticals
oberthur technologies,oberthur.com,,information technology and services
meggitt,meggitt.com,1850,aviation & aerospace
the results companies,theresultscompanies.com,1990,outsourcing/offshoring
apparel group,appareluae.com,1999,retail
stanbic ibtc,stanbicibtc.com,,financial services
spencer stuart,spencerstuart.com,1956,management consulting
kemper,kemper.com,1990,insurance
right at home,rightathome.net,2011,hospital & health care
eskenazi health,eskenazihealth.edu,1859,hospital & health care
synovus,synovus.com,1888,financial services
boart longyear,boartlongyear.com,1890,mining & metals
sinclair community college,sinclair.edu,,higher education
alpla,alpla.com,1955,packaging and containers
devon county council,devon.gov.uk,,government administration
maxis,maxis.com.my,1993,telecommunications
faetec,rj.gov.br,,education management
select staffing,selectstaffing.com,1985,staffing and recruiting
crédit mutuel arkéa,arkea.com,2002,banking
pacífico seguros,pacificoseguros.com,,insurance
pima community college,pima.edu,1969,higher education
universidad de la república,universidad.edu.uy,1849,higher education
international medical corps,internationalmedicalcorps.org,1984,non-profit organization management
sistema firjan,,,civic & social organization
university of richmond,richmond.edu,1830,higher education
xxxxxx,,,computer software
tufts health plan,tuftshealthplan.com,1979,insurance
lexisnexis risk solutions,,,information technology and services
cornwall council,cornwall.gov.uk,1974,government administration
pwd,pwwwd.com,,internet
a|x armani exchange,armaniexchange.com,1991,apparel & fashion
vectrus,vectrus.com,2014,defense & space
my company,eugf.de,,human resources
pran-rfl group,pranrflgroup.com,1981,food & beverages
firestone,,,automotive
macmillan cancer support,macmillan.org.uk,1911,non-profit organization management
the vitamin shoppe,vitaminshoppe.com,1977,retail
york risk services group,yorkrsg.com,,insurance
syncreon,syncreon.com,,logistics and supply chain
florida institute of technology,fit.edu,,higher education
telekom srbija,telekom.rs,1997,telecommunications
bill & melinda gates foundation,gatesfoundation.org,2000,philanthropy
wells fargo capital finance,wellsfargocapitalfinance.com,,financial services
c-cor,,,telecommunications
synnex,synnexcorp.com,1980,information technology and services
ses,ses.com,1985,telecommunications
tenova,tenova.com,2008,mining & metals
sirva worldwide relocation & moving,sirva.com,,real estate
live nation,livenation.com,2005,entertainment
pt astra honda motor,astra-honda.com,2001,automotive
janalakshmi financial services,janalakshmi.com,2006,financial services
ipiranga produtos de petróleo,ipiranga.com.br,1938,oil & energy
university of dammam,,,higher education
"ashfield, part of udg healthcare plc",ashfieldhealthcare.com,1997,pharmaceuticals
alsco,alsco.com,1889,textiles
secretaria de comunicaciones y transportes,"www,sct,gob.mx",,government administration
llywodraeth cymru / welsh government,gov.wales,,government administration
everbank,everbank.com,,banking
digitaslbi north america,digitas.com,1980,marketing and advertising
kongsberg automotive,kongsbergautomotive.com,1987,automotive
comune di roma,,,government administration
impala platinum,implats.co.za,,mining & metals
usps oig,uspsoig.gov,1996,government administration
fm logistic,fmlogistic.com,1967,logistics and supply chain
ted conferences,ted.com,1984,media production
university of arkansas at little rock,ualr.edu,1927,higher education
"city of new york, administration for children's services",,1996,government administration
"anantara hotels, resorts and spas",anantara.com,2001,hospitality
puc-rio,puc-rio.br,1940,higher education
agfa,agfa.com,,business supplies and equipment
willmott dixon,willmottdixon.co.uk,1852,construction
groupe snef,snef.fr,1905,information technology and services
sagemcom,sagemcom.com,2008,telecommunications
tekfen construction,tekfenconstruction.com,,construction
gwinnett medical center,gwinnettmedicalcenter.org,1941,hospital & health care
im internet gmbh,iminternet.net,,telecommunications
ryan,ryan.com,1991,financial services
andeavor,andeavor.com,,oil & energy
gobierno del estado de guanajuato,guanajuato.gob.mx,1824,government administration
manzac gites,ville-clichy.fr,,"leisure, travel & tourism"
national insurance co. ltd,nationalinsuranceindia.com,1906,insurance
st electronics,stengg.com,1967,mechanical or industrial engineering
british heart foundation,bhf.org.uk,1961,non-profit organization management
zomato,zomato.com,2008,consumer services
aryzta,aryztaamericas.com,2008,food production
king & spalding,kslaw.com,1885,law practice
american institutes for research,air.org,1946,research
hiscox,hiscoxgroup.com,1901,insurance
netvision,013netvision.net.il,1994,internet
outsurance,outsurance.co.za,1998,insurance
pharmerica,pharmerica.com,,pharmaceuticals
savers,savers.com,1954,retail
systeme u,u-emploi.com,,supermarkets
music direct,musicdirect.com,1989,music
carquest auto parts,carquest.com,,automotive
love's travel stops,loves.com,1964,retail
attorney at law,,,legal services
raymond chabot grant thornton,rcgt.com,1948,financial services
buffalo public schools,buffaloschools.org,,education management
forex,fegapei.fr,,capital markets
greif,greif.com,1877,packaging and containers
natural resources canada,nrcan-rncan.gc.ca,,government administration
jhpiego,jhpiego.org,1973,non-profit organization management
mlse (maple leaf sports & entertainment),mlse.com,1998,sports
department of public works,,,government administration
localiza rent a car,localizahertz.com,1973,"leisure, travel & tourism"
adma-opco,adma-opco.com,,oil & energy
valmont industries,valmont.com,1946,machinery
biosev,biosev.com,2000,farming
ouh odense universitetshospital – svendborg sygehus,ouh.dk,,hospital & health care
yves rocher,,1959,cosmetics
brookdale senior living,thetowerslife.com,,marketing and advertising
akin gump strauss hauer & feld llp,akingump.com,1945,law practice
stad gent,stad.gent,,government administration
rhenus logistics,rhenus.com,,logistics and supply chain
tata elxsi,,1989,design
dhl express nederland,dhlexpress.nl,1969,package/freight delivery
blue star limited,bluestarindia.com,1943,mechanical or industrial engineering
lutheran medical center,lutheranhealthcare.org,1883,hospital & health care
jazz aviation lp,flyjazz.ca,2001,airlines/aviation
livingston international,livingstonintl.com,1945,logistics and supply chain
lidl france,lidl.fr,1989,supermarkets
aegis therapies,aegistherapies.com,,hospital & health care
"ping an property& casualty insurance company of china, ltd. 中国平安财产保险股份有限公司",,,insurance
tarmac,tarmac.com,2015,construction
harland clarke,harlandclarke.com,,financial services
builders firstsource,,1990,building materials
babysitting,,,primary/secondary education
sakhalin energy,sakhalinenergy.com,1994,oil & energy
roc midden nederland,rocmn.nl,,higher education
neste,neste.com,,oil & energy
first bank,firstbanks.com,1910,banking
coor service management,coor.com,1998,facilities services
zürcher kantonalbank,zkb.ch,1870,banking
university of central missouri,ucmo.edu,1871,higher education
see,see.asso.fr,1883,research
abington memorial hospital,,,hospital & health care
saint francis hospital,stfranciscare.com,1897,hospital & health care
avnet technology solutions,,1921,information technology and services
saskatoon health region,saskatoonhealthregion.ca,,hospital & health care
secretaría de educación del distrito,redacademica.edu.co,,primary/secondary education
victoria police,police.vic.gov.au,1853,public safety
sasktel,sasktel.com,1908,telecommunications
dcp midstream,dcpmidstream.com,2000,oil & energy
treasury wine estates,tweglobal.com,,wine and spirits
raymour & flanigan furniture,raymourflanigan.com,1947,retail
devere group,devere-group.com,2002,financial services
cmi,cmigroupe.com,1817,mechanical or industrial engineering
ips,ipsdb.com,1989,pharmaceuticals
bell aliant,bellaliant.ca,,telecommunications
areva t&d,,1872,electrical/electronic manufacturing
esurance,esurance.com,1999,insurance
essent,werkenbijessent.nl,1999,oil & energy
catering,lekkerwerelds.nl,2010,food production
the princeton review,princetonreview.com,1981,education management
solar turbines,,1927,oil & energy
ontario public service,,,government administration
ibermática,ibermatica.com,1973,information technology and services
dataart,dataart.com,1997,computer software
lifetime fitness,libertydoorsystems.com,,"health, wellness and fitness"
busqueda activa de empleo,blimp.be,,marketing and advertising
temple university hospital,templehealth.org,1892,hospital & health care
pt. mitra adiperkasa tbk,map.co.id,1995,retail
ife,ife.org.mx,,government administration
ericsson india,,1876,information technology and services
olathe school district,olatheschools.com,,primary/secondary education
ooredoo algérie,ooredoo.dz,2004,telecommunications
eastern illinois university,eiu.edu,1895,higher education
onemain,onemainfinancial.com,1912,financial services
ssp,ssp-worldwide.com,2002,information technology and services
metropolitan bank and trust company,metrobank.com.ph,1962,banking
università degli studi di roma 'la sapienza',,,higher education
auckland dhb,adhb.govt.nz,,hospital & health care
university of wolverhampton,wlv.ac.uk,,higher education
kaist,kaist.edu,1971,higher education
aeg,aegworldwide.com,,entertainment
pwc españa,pwc.es,1929,management consulting
citic securities company limited,ecitic.com,1995,investment banking
progress energy,progress-energy.com,1908,utilities
aurora public schools,aurorak12.org,1922,education management
advantech,advantech.com,1983,computer hardware
florida department of transportation,,1915,civil engineering
post danmark,postdanmark.dk,,logistics and supply chain
tokyo electron,tel.com,1963,semiconductors
emory university hospital,,,hospital & health care
heidelbergcement,heidelbergcement.com,1873,building materials
pt. bank tabungan negara (persero) tbk,btn.co.id,1897,banking
st john of god health care,sjog.org.au,1895,hospital & health care
echarcha,echarcha.com,2010,writing and editing
karvy,thefinapolis.com,1981,financial services
hrg,hrgworldwide.com,1845,"leisure, travel & tourism"
florida gulf coast university,fgcu.edu,1991,higher education
grupo cobra,grupocobra.com,1944,mechanical or industrial engineering
silpada designs,silpada.com,1997,luxury goods & jewelry
sakarya university,sakarya.edu.tr,,higher education
alkermes,alkermes.com,,biotechnology
hill's pet nutrition,hillspet.com,1907,consumer goods
avon,robertsavon.co.uk,,cosmetics
golden generation ltd.,aranygeneracio.hu,,financial services
atp,atp.com,1973,computer software
seyfarth shaw llp,seyfarth.com,1945,law practice
chesf,,,utilities
rede,userede.com.br,1996,financial services
wates group,wates.co.uk,1897,construction
engie – uk & ireland,engie.co.uk,2009,facilities services
convergint technologies,convergint.com,2001,security and investigations
queens college,,1937,higher education
emploi et développement social canada (edsc) / employment and social development canada (esdc),esdc.gc.ca,,government administration
department for international trade (dit),,2016,international trade and development
film and television industry,flexituff.com,,entertainment
cineplex entertainment,cineplex.com,1920,entertainment
bunge brasil,bunge.com.br,1808,food production
global experience specialists (ges),ges.com,1939,events services
estudio de arquitectura,gabaldon-arquitecto.es,1994,architecture & planning
agência estado,ae.com.br,1970,financial services
vueling airlines,vueling.com,2004,airlines/aviation
vsp vision care,vsp.com,1955,insurance
hempel a/s,hempel.com,1915,chemicals
prudential assurance malaysia berhad,prudential.com.my,1924,insurance
comune di torino,comune.torino.it,,government administration
aston martin lagonda ltd,astonmartin.com,1913,automotive
compuware,compuware.com,1973,computer software
consultorio psicológico privado,cinehoyts.cl,,mental health care
ces,cesltd.com,1996,outsourcing/offshoring
praxis,praxisglobe.com,1996,information technology and services
saint-gobain pipe systems belgium,,,construction
martin marietta,martinmarietta.com,1993,mining & metals
uf health jacksonville,ufhealthjax.org,1999,hospital & health care
roga&kopyta,,,accounting
fantasista and partners co,,,marketing and advertising
krka,krka.si,1954,pharmaceuticals
pt. kereta api indonesia (persero),kereta-api.co.id,1945,transportation/trucking/railroad
sk hynix,skhynix.com,1983,semiconductors
pps,pps.co.za,1941,insurance
incomm,incomm.com,1992,wholesale
prefeitura de guarulhos,pfleiderer.pl,,government administration
no company,filmsoundcompany.com,,motion pictures and film
wake technical community college,waketech.edu,,higher education
sheffield city council,sheffield.gov.uk,,government administration
n/a - but ready for a new challenge,norfastengineering.com,,information technology and services
visiting angels,carebyangels.org,,"health, wellness and fitness"
banque misr,banquemisr.com,1920,banking
carl zeiss vision,zeiss.com,1846,medical devices
blockbuster,blockbuster.com,1982,retail
toll global forwarding,,1888,logistics and supply chain
extreme networks,extremenetworks.com,1996,computer networking
worthington industries,worthingtonindustries.com,1955,mining & metals
peugeot,peugeot.com.br,,automotive
five star quality care,5sqc.com,1999,hospital & health care
vli logística,vli-logistica.com,2010,logistics and supply chain
new oriental education & technology group (nyse:edu),neworiental.org,,education management
happiest minds technologies,happiestminds.com,2011,information technology and services
leicester city council,leicester.gov.uk,,government administration
liteon,liteon.com,1975,computer hardware
new york state department of health,ny.gov,,"health, wellness and fitness"
israel electric company,iec.co.il,1923,electrical/electronic manufacturing
eci telecom,ecitele.com,1961,telecommunications
vicroads,vicroads.vic.gov.au,1913,transportation/trucking/railroad
quala s.a.,quala.com.co,1980,consumer goods
el seif engineering contracting,el-seif.com.sa,1975,construction
doterra essential oils,yourdoterrawellness.com,,"health, wellness and fitness"
notaria,,,law practice
sener,sener.es,1956,facilities services
state bank of pakistan,sbp.org.pk,1948,banking
timberland,timberland.com,,apparel & fashion
ollwin international,,,information technology and services
personal,mauguerrero.com,,photography
ibm india private limited,,,computer software
garrigues,garrigues.com,1941,legal services
rewe group,rewe-group.com,1927,retail
eltel networks,eltelnetworks.com,2001,information technology and services
nuon,nuon.nl,1915,oil & energy
valentino,valentino.com,1960,luxury goods & jewelry
beauticontrol,beauticontrol.com,1981,cosmetics
philadelphia insurance companies,phly.com,,insurance
a1 telekom austria ag,a1.net,1996,telecommunications
our lady of the lake regional medical center,ololrmc.com,,hospital & health care
nmc healthcare,nmc.ae,1975,hospital & health care
utc engenharia,utc.com.br,,construction
transguard group,transguardgroup.com,2001,outsourcing/offshoring
bloomberg bna,bna.com,1929,information services
the permanente medical group,,1948,medical practice
selective insurance,selective.com,,insurance
indesit company,indesitcompany.com,1975,consumer goods
edward hospital,eehealth.org,,hospital & health care
- nil -,worldaccordingtorich.blogspot.com,,oil & energy
vanke,vanke.com,1984,real estate
verizon connect,verizonconnect.com,,information technology and services
young's market company,youngsmarket.com,1888,wine and spirits
desjardins financial security life assurance company,desjardinsassurancevie.com,,insurance
kingfisher plc,kingfisher.com,1982,retail
inchcape shipping services,iss-shipping.com,1847,maritime
canterbury christ church university,canterbury.ac.uk,1962,higher education
sydbank,sydbank.dk,1970,banking
universidad diego portales,udp.cl,1982,higher education
eide bailly llp,eidebailly.com,1917,accounting
k. hovnanian homes,khov.com,1959,real estate
eastern washington university,ewu.edu,1882,higher education
centro de estudios sociales argentino,hispavista.com,2008,e-learning
inventec,inventec.com,,computer hardware
adams 12 five star schools,adams12.org,,primary/secondary education
mgen,mgen.fr,1946,insurance
shared services canada,ssc-spc.gc.ca,2011,government administration
cyrela,cyrela.com.br,1962,real estate
city of columbus,columbus.gov,1812,government administration
stv,stvinc.com,1912,architecture & planning
epiq,epiqglobal.com,1988,legal services
vancouver school board,vsb.bc.ca,1886,primary/secondary education
pucpr,pucpr.br,1959,higher education
cornerstone ondemand,csod.com,1999,computer software
linköpings kommun,linkoping.se,,government administration
lpdp kementerian keuangan ri,kemenkeu.go.id,2011,facilities services
covington & burling llp,cov.com,1919,law practice
g&p,gpnet.com.br,1989,information technology and services
dewberry,dewberry.com,1956,civil engineering
mep,mephealth.com,1997,hospital & health care
rtbf,rtbf.be,1930,broadcast media
hellenic telecommunications organisation,ote.gr,1949,telecommunications
vml,vml.com,1992,marketing and advertising
"coca-cola bottling company united, inc.",cocacolaunited.com,1902,consumer goods
dolby laboratories,dolby.com,1965,consumer electronics
nasa ames research center,,1939,defense & space
pernambucanas,pernambucanas.com.br,1908,retail
department of water affairs,dwa.gov.za,1975,government administration
sydney water,sydneywater.com.au,,utilities
veeva systems,veeva.com,2007,computer software
"yrc worldwide, inc.",yrcw.com,1924,transportation/trucking/railroad
"vistage worldwide, inc.",vistage.com,1957,professional training & coaching
bankia,,2011,banking
tüv rheinland ag,tuv.com,1872,environmental services
cairn india ltd,cairnindia.com,2007,oil & energy
oocl,oocl.com,,logistics and supply chain
universidad de la sabana,unisabana.edu.co,1979,higher education
troy university,troy.edu,1887,higher education
london borough of camden,camden.gov.uk,,government administration
salvatore ferragamo,ferragamo.com,1927,luxury goods & jewelry
max mara fashion group,maxmarafashiongroup.com,1951,apparel & fashion
avison young,avisonyoung.com,1978,real estate
rover.com,rover.com,2011,internet
staffordshire university,staffs.ac.uk,1992,higher education
zagazig university,zu.edu.eg,,higher education
gls,gls-group.eu,1999,transportation/trucking/railroad
prefeitura municipal de barueri,,,government administration
maserati,maserati.com,1914,automotive
universidade estadual de maringá,uem.br,2002,higher education
rede d'or são luiz,rededor.com.br,1977,"health, wellness and fitness"
texas army national guard,tim-consultants.com,,military
pentair valves & controls,,1960,mechanical or industrial engineering
brightstar care,brightstarcare.com,2002,hospital & health care
alltech,alltech.com,1980,biotechnology
clydesdale bank,cbonline.co.uk,1838,banking
bper banca,bper.it,1867,banking
volkswagen india,volkswagen.co.in,,automotive
lebanese university,ul.edu.lb,,higher education
banyan tree hotels & resorts,banyantree.com,1994,hospitality
st. antonius ziekenhuis,antoniusziekenhuis.nl,,hospital & health care
virginia college,vc.edu,,higher education
premium retail services,premiumretail.com,1985,retail
barnes & noble college,bncollege.com,1971,retail
saisd,saisd.net,1899,education management
veterans united home loans,veteransunited.com,2002,financial services
healthscope,healthscope.com.au,,hospital & health care
nfi,nfiindustries.com,1932,logistics and supply chain
piedmont atlanta hospital,,1905,hospital & health care
bouygues immobilier,bouygues-immobilier-corporate.com,1956,real estate
l'occitane en provence,loccitane.com,1976,cosmetics
hilti north america,,1941,construction
cquniversity australia,cqu.edu.au,,higher education
golden corral,goldencorral.com,1973,restaurants
wex,wexinc.com,1983,financial services
ricoh business solutions,,1938,business supplies and equipment
aaa auto club south,aaasouth.com,1938,insurance
"nypro, a jabil company",nypro.com,1955,plastics
deme group,deme-group.com,1991,civil engineering
new zealand defence force,nzdf.mil.nz,,military
thermofisher scientific,tcm.co.za,,biotechnology
independent consultant,mattilaconsulting.com,,information technology and services
mount royal university,mtroyal.ca,1910,higher education
languageline solutions,languageline.com,1982,translation and localization
jordan university of science and technology,just.edu.jo,1986,education management
hermes,hermesworld.com,,logistics and supply chain
lenox hill hospital,lenoxhillhospital.org,1857,hospital & health care
lord corporation,lord.com,1924,mechanical or industrial engineering
infinitus china company ltd,infinitus.com.cn,1992,consumer goods
university of southern queensland,usq.edu.au,,higher education
rhode island hospital,rhodeislandhospital.org,1863,hospital & health care
interface,interface.com,1973,textiles
international company,intecna.es,,human resources
nesma & partners,nesma-partners.com,1981,construction
biosense webster,biosensewebster.com,,medical devices
staples canada,staples.ca,1991,retail
jll india,joneslanglasalle.co.in,2007,real estate
future generali india life insurance co,futuregenerali.in,,insurance
inbev,abinbev.com,,food & beverages
snap fitness 24/7,snapfitness.com,2004,"health, wellness and fitness"
townsquare media,townsquaremedia.com,2010,entertainment
emeritus,brookdale.com,1993,hospital & health care
societe generale private banking - sgpb,,1997,financial services
ajilon,ajilon.com,,staffing and recruiting
public storage,publicstorage.com,1972,real estate
university of new brunswick,unb.ca,,higher education
ted baker,tedbaker.com,1988,apparel & fashion
marel,marel.com,1983,machinery
mail.ru group,mail.ru,1998,internet
harvard t.h. chan school of public health,,,higher education
irving isd,irvingisd.net,1909,education management
bsn medical,bsnmedical.com,2001,medical devices
federal communications commission,fcc.gov,1934,telecommunications
kpm,kpmconsultants.com,,information technology and services
astaldi,astaldi.com,1922,construction
logoworks by hp,logoworks.com,2000,graphic design
wurth,wurth.com.br,,building materials
qualtrics,qualtrics.com,2002,computer software
universidad anáhuac,anahuac.mx,1964,higher education
"california state university, east bay",,,higher education
amer sports corporation,amersports.com,1950,sporting goods
first abu dhabi bank (fab),,,banking
arthur j. gallagher & co.,,1927,insurance
saint laurent,ysl.com,1961,luxury goods & jewelry
the catholic university of america,cua.edu,1887,higher education
ministry of education of oman,moe.gov.om,,education management
japan international cooperation agency (jica),jica.go.jp,2003,civic & social organization
università bocconi,unibocconi.eu,1902,education management
pioneer foods,pioneerfoods.co.za,,food & beverages
osn,osn.com,,broadcast media
ministry of health oman,moh.gov.om,,"health, wellness and fitness"
gruppo cariparma crédit agricole,credit-agricole.it,2007,banking
sagicor life insurance company,sagicorlifeusa.com,,insurance
pttep,pttep.com,,oil & energy
hanson,forterrabp.com,,building materials
all children's hospital,allkids.org,1926,hospital & health care
ellisdon,ellisdon.com,,construction
knauf,knauf.com,1932,building materials
ihs,ihs.com,1959,information services
f.n.b. corporation,fnbcorporation.com,1864,financial services
msd sharp & dohme gmbh,msd.de,,pharmaceuticals
innodata inc.,innodata.com,1988,information technology and services
renault nissan automotive india pvt ltd.,buildredrock.com,,automotive
das,das.nl,1963,legal services
bancorpsouth,bancorpsouth.com,,financial services
saudi bin ladin group,,,information technology and services
iecisa,iecisa.com,1983,information technology and services
alcoa fastening systems,,2002,aviation & aerospace
hyundai mobis,mobis.co.kr,1977,automotive
university of basel,unibas.ch,,research
postnord,postnord.com,2006,logistics and supply chain
barfoot & thompson,barfoot.co.nz,1923,real estate
officeworks,officeworks.com.au,1994,retail
truman medical centers,trumed.org,1962,hospital & health care
asiainfo,asiainfo.com,1993,computer software
urbanbay,,,computer networking
česká pojišťovna,ceskapojistovna.cz,1827,insurance
yto express,yto.net.cn,,package/freight delivery
acuren,acuren.com,,oil & energy
unm hospitals,,,hospital & health care
heraeus,heraeus.com,1851,chemicals
jamberry,jamberrynails.net,2010,consumer goods
huntington learning center,huntingtonlearningcenter.com,1977,education management
libre,libreidee.com,2007,information technology and services
lewis brisbois bisgaard & smith llp,lewisbrisbois.com,1979,law practice
elizabeth arden,elizabetharden.com,1910,cosmetics
uc davis health system,,1968,hospital & health care
csm bakery solutions,csmbakerysolutions.com,,food production
vinci facilities,vinci-facilities.co.uk,1899,facilities services
masisa,masisa.com,1960,paper & forest products
atmel corporation,atmel.com,1984,semiconductors
agropur,agropur.com,1938,dairy
hcl bpo,hcl.in,1977,information technology and services
it solutions,it-solutions.com.mx,2002,information technology and services
vivint solar,vivintsolar.com,2011,renewables & environment
stay at home mom,fatathlete.com,,"health, wellness and fitness"
new york & company,nyandcompany.com,1918,retail
ultratech cement,ultratechcement.com,,building materials
fullhomechina,fang.com,1999,internet
ge global research,geglobalresearch.com,1892,research
university of new england,une.edu,1831,higher education
phh mortgage,phhmortgage.com,1984,financial services
towergate insurance,towergateinsurance.co.uk,1997,insurance
federal bank,federalbank.co.in,,banking
university of lincoln,lincoln.ac.uk,,higher education
pccw teleservices,pccwteleservices.com,1992,outsourcing/offshoring
universidad de guanajuato,ugto.mx,,higher education
wright medical,wright.com,,medical devices
bank of queensland,boq.com.au,,banking
jostens,jostens.com,1897,consumer goods
clarivate analytics,clarivate.com,,information technology and services
"new china life insurance co., ltd.",newchinalife.com,1996,insurance
massimo dutti,massimodutti.com,1985,retail
boise cascade,bc.com,1957,building materials
prudential assurance company singapore,prudential.com.sg,1931,financial services
north carolina a&t state university,,,higher education
travis county,traviscountytx.gov,1840,government administration
nsk,nsk.com,,machinery
barloworld equipment,barloworld-equipment.com,1927,machinery
mahidol university,mahidol.ac.th,1888,higher education
international federation of red cross and red crescent societies,ifrc.org,1919,non-profit organization management
east baton rouge parish school system,ebrschools.org,,education management
tutor doctor,tutordoctor.com,2000,education management
statistics iceland,simnet.is,,accounting
croonwolter&dros,croonwolterendros.nl,1875,information technology and services
"pennymac loan services, llc",pennymacusa.com,2008,financial services
san jacinto college,sanjac.edu,1961,higher education
canada mortgage and housing corporation (cmhc) société canadienne d'hypothèques et de logement(schl),cmhc-schl.gc.ca,1946,government administration
simmons & simmons,simmons-simmons.com,1896,law practice
city of charlotte,charlottenc.gov,,government administration
royal ihc,royalihc.com,1943,shipbuilding
psychologist in private practice,lizzed.com,,mental health care
schiphol,schiphol.com,1916,airlines/aviation
kostal group,kostal.com,1912,automotive
littelfuse,littelfuse.com,1927,electrical/electronic manufacturing
amplifon,amplifon.com,1950,"health, wellness and fitness"
forthnet,forthnet.gr,1994,telecommunications
oneok,oneok.com,1906,oil & energy
siemens information systems ltd,,,information technology and services
city of brampton,brampton.ca,,government administration
bureau veritas consumer products services,,,consumer goods
wema bank plc,wemabank.com,1945,banking
rockstar games,rockstargames.com,,computer games
baldor electric company – a member of the abb group,baldor.com,1920,industrial automation
independant contract & claim manager,,,management consulting
tata chemicals,tatachemicals.com,1939,chemicals
abhilash,pnrstatus.info,,transportation/trucking/railroad
grady health system,gradyhealth.org,1892,hospital & health care
resource it solutions,resourceit.com,1991,computer software
madison area technical college,madisoncollege.edu,,higher education
elon university,elon.edu,1889,higher education
allstate insurance agency,,,insurance
wickes,wickes.co.uk,1972,retail
wordpress,,,internet
fidal,fidal.com,1922,law practice
lions clubs international,lionsclubs.org,1917,non-profit organization management
de rechtspraak,rechtspraak.nl,1811,judiciary
ministry of community and social services,gov.on.ca,,government administration
gardner denver,gardnerdenver.com,1859,machinery
cos,cosstores.com,2007,apparel & fashion
nada,totalprotec.com.ar,,computer hardware
southwark council,southwark.gov.uk,,government administration
horace mann,horacemann.com,1945,insurance
leica geosystems,leica-geosystems.com,1819,electrical/electronic manufacturing
landry's restaurants,landrysinc.com,1980,hospitality
moody's analytics knowledge services,maknowledgeservices.com,2002,financial services
department of defence of australia,,1901,defense & space
mother dairy fruit & vegetable pvt. ltd,motherdairy.com,1974,dairy
supplemental health care,supplementalhealthcare.com,1984,staffing and recruiting
chatang,,,food production
oncor electric delivery,oncor.com,,utilities
mc donalds maringa,mcmaringa.com.br,,food & beverages
husky injection molding systems,husky.co,1953,machinery
phoenix contact,phoenixcontact.com,1923,industrial automation
palantir technologies,palantir.com,2004,computer software
rhodes university,ru.ac.za,1904,higher education
zulily,zulily.com,2009,retail
citiustech,citiustech.com,2005,information technology and services
florida state college at jacksonville,,,higher education
daher,daher.com,1863,aviation & aerospace
edgeverve,edgeverve.com,2014,information technology and services
"the yankee candle company, inc.",yankeecandle.com,1969,retail
university of limpopo,ul.ac.za,,higher education
petronas lubricants international,pli-petronas.com,2008,oil & energy
abc television,abc.com,,broadcast media
junji - junta nacional de jardines infantiles,junji.gob.cl,1971,government administration
topdanmark - forsikring og pension,topdanmark.dk,1898,insurance
tennant company,tennantco.com,1870,machinery
domino's pizza enterprises limited,dominos.com.au,1983,retail
bilfinger,bilfinger.com,1888,mechanical or industrial engineering
outfront media,outfrontmedia.com,,marketing and advertising
box,box.com,2005,internet
musica,,,retail
lindenwood university,lindenwood.edu,1827,higher education
cmc,cmcturkey.com,2000,outsourcing/offshoring
wal-mart watch,,,political organization
jd.com,,1998,internet
south african post office,postoffice.co.za,,telecommunications
tupy,tupy.com.br,1938,automotive
murphy oil,murphyoilcorp.com,1950,oil & energy
roquette,roquette.com,1933,food production
sdi media,sdimedia.com,,translation and localization
por cuenta propia,lucernario.org,,photography
framestore,framestore.com,1986,motion pictures and film
the oriental insurance company ltd.,orientalinsurance.org.in,1949,insurance
self-help,self-help.org,1980,financial services
efu life assurance ltd.,efulife.com,,insurance
knowit,knowitgroup.com,1990,information technology and services
oi/telemar,,,telecommunications
una,,,education management
"ethan allen global, inc.",ethanallen.com,1932,retail
korean air,,,airlines/aviation
waikato district health board,waikatodhb.health.nz,2001,hospital & health care
viajes el corte ingles,viajeselcorteingles.es,,"leisure, travel & tourism"
mohawk college,,,education management
copart,copart.com,1982,automotive
key energy services,keyenergy.com,1977,oil & energy
taylor wimpey plc,taylorwimpey.co.uk,1880,real estate
total wine & more,totalwine.com,1991,retail
carl zeiss meditec ag,,2002,medical devices
federal reserve board,federalreserve.gov,1913,banking
ecco shoes,ecco.com,1963,apparel & fashion
pt. bank bukopin tbk,bukopin.co.id,,banking
kpmg south africa,,,financial services
luminant,luminant.com,,utilities
u.s. army contracting command,,2008,military
esade business & law school,esade.edu,1958,education management
boyd gaming,boydgaming.com,1975,gambling & casinos
bentley university,bentley.edu,1917,higher education
uol - universo online,uol.com.br,1996,internet
cost plus world market,worldmarket.com,1958,retail
bred,bred.fr,1919,banking
babcock & wilcox,babcock.com,1867,mechanical or industrial engineering
civil aviation authority,caa.co.uk,1972,airlines/aviation
alpina,alpina.com,1945,food production
scottrade,scottrade.com,1980,financial services
borden ladner gervais llp,blg.com,1823,law practice
western health,westernhealth.org.au,,hospital & health care
citizens advice,citizensadvice.org.uk,1939,non-profit organization management
avianca holdings s.a.,aviancataca.com,2009,airlines/aviation
