name,domain,year founded,industry
cardinal health,cardinalhealth.com,1971,hospital & health care
amway,amwayglobal.com,1959,consumer goods
adecco,adecco.com,1996,staffing and recruiting
bb&t,bbt.com,1872,financial services
saic,saic.com,2013,information technology and services
bureau veritas,bureauveritas.com,1828,environmental services
faurecia,faurecia.com,1997,automotive
sas,sas.com,1976,computer software
indite technologies,,,capital markets
mahindra satyam,,1986,information technology and services
coldwell banker,,1906,real estate
orange business services,orange-business.com,,information technology and services
monsanto company,monsanto.com,2000,farming
manpowergroup,manpowergroup.com,1948,staffing and recruiting
american red cross,redcross.org,1881,non-profit organization management
kelly services,kellyservices.com,1946,staffing and recruiting
time warner cable,timewarnercable.com,1989,telecommunications
nedbank,nedbank.co.za,,financial services
adobe,adobe.com,1982,computer software
university of florida,ufl.edu,1853,higher education
bell,bell.ca,1880,telecommunications
ecolab,ecolab.com,,chemicals
bhp billiton,bhp.com,1851,mining & metals
university of minnesota,umn.edu,1851,higher education
absa,absa.co.za,1991,financial services
bbc,bbc.co.uk,1922,broadcast media
government of maharashtra,coolnsave.com,,security and investigations
"ameriprise financial services, inc.",ameriprise.com,1894,financial services
unicredit,unicreditgroup.eu,2014,banking
mphasis,mphasis.com,1998,information technology and services
randstad,randstad.com,1960,human resources
progressive insurance,progressive.com,1937,insurance
the ohio state university,osu.edu,1870,higher education
"anthem, inc.",antheminc.com,,insurance
safeway,safeway.com,1915,food & beverages
teleperformance,teleperformance.com,1978,outsourcing/offshoring
worleyparsons,worleyparsons.com,1971,oil & energy
korea facilitators association,,,professional training & coaching
british airways,ba.com,1919,airlines/aviation
national oilwell varco,nov.com,1841,oil & energy
aviva,aviva.com,2000,financial services
syngenta,syngenta.com,2000,farming
magna international,magna.com,1957,automotive
walt disney world,waltdisneyworld.jobs,1971,entertainment
auchan,groupe-auchan.com,1961,retail
staples,staples.com,1986,business supplies and equipment
no-company,pearsonfamily.id.au,2009,information technology and services
the salvation army,salvationarmyusa.org,1865,non-profit organization management
inditex,inditex.com,1974,retail
barclays investment bank,,,financial services
toyota,toyota-global.com,1937,automotive
sherwin williams,sherwin-williams.com,1866,chemicals
arcadis,arcadis.com,1888,civil engineering
